star_id,x_pixel,y_pixel,flux,magnitude
21,241.31,12.38,16110.52,4.482226
22,154.6,93.55,12519.61,4.756023
32,533.74,67.34,95190.76,2.553513
35,893.86,113.95,12362.72,4.769715
36,699.75,122.47,48226.44,3.291787
37,644.52,230.45,20540.57,4.218469
38,698.2,237.67,17066.29,4.419652
39,706.43,274.88,17314.87,4.403952
40,714.23,275.43,35187.01,3.634044
41,263.12,110.48,13699.75,4.658218
42,169.64,205.31,10312.92,4.966546
43,252.54,165.35,13979.37,4.636281
44,334.98,194.87,35128.34,3.635856
45,414.67,173.27,38333.88,3.541043
