star_id,x_pixel,y_pixel,flux,magnitude
4884,1014.24,498.2,3.86,6.0347776
4886,882.97,515.7,1.39,7.1462774
4887,853.76,539.9,3.14,6.2576256
4888,996.93,575.86,1.65,6.957837
4890,858.72,797.49,2.38,6.557396
4891,740.03,855.17,1.09,7.408053
4893,834.94,924.06,2.3,6.596391
4894,777.43,950.25,9.89,5.0125294
4895,814.75,995.08,5.14,5.7232037
5115,932.46,496.23,4.43,5.884033
5116,807.26,572.14,5.94,5.5662136
5117,856.27,595.12,1.12,7.375584
5118,792.19,647.92,1.04,7.452892
5119,735.86,755.95,9.9,5.0114455
5120,868.95,722.53,1.78,6.8721924
5123,1004.29,736.4,1.9,6.8011003
5133,915.45,975.5,1.1,7.401143
5363,900.27,811.92,1.86,6.825685
5597,1016.35,497.55,1.67,6.9460735
5598,1018.37,505.99,6.55,5.4592023
5600,845.98,721.57,5.04,5.742878
5603,920.43,886.7,4.77,5.802926
5616,884.88,998.44,1.03,7.4699225
5801,890.02,617.09,1.09,7.40909
5802,745.86,677.97,2.74,6.4045453
5803,926.32,634.88,6.9,5.4032063
5806,905.14,851.86,1.54,7.028694
5807,788.31,881.54,1.7,6.924984
5808,861.28,881.06,1.07,7.428479
5809,860.17,885.52,9.96,5.004649
5969,179.25,24.52,1.71,6.9149113
5970,83.07,128.03,1.19,7.3080025
5971,156.29,126.9,1.0,7.499014
5974,8.06,223.32,2.61,6.4604106
6083,824.9,561.35,1.14,7.354674
6084,835.0,753.43,2.02,6.7389565
6087,882.5,931.92,1.05,7.4513817
6088,876.2,965.86,1.05,7.449419
6089,804.37,928.01,1.32,7.2021875
6271,742.42,755.85,2.58,6.4695716
6272,746.04,817.97,1.18,7.3226314
6274,766.62,965.29,1.18,7.31792
6452,49.22,96.86,1.16,7.3375435
6532,977.5,395.73,2.81,6.377123
6534,1005.58,555.09,1.73,6.9057035
6536,851.08,554.97,3.62,6.1032314
6539,957.58,893.11,3.18,6.244472
6779,992.91,625.3,1.06,7.4405327
6785,715.66,979.7,1.36,7.165067
6793,1007.2,1007.23,2.62,6.452325
6992,917.94,621.51,1.35,7.1735535
6993,755.72,685.42,1.86,6.828376
6994,755.44,753.03,14.47,4.598965
6995,988.2,753.84,2.38,6.557182
6996,983.9,793.58,2.31,6.589189
6997,803.71,840.12,2.51,6.498906
7163,97.94,242.43,1.51,7.0546107
7164,365.35,283.48,1.28,7.2324924
7165,306.91,277.79,10.15,4.983694
7166,281.84,290.62,1.56,7.0147843
7167,260.65,311.59,2.23,6.6279325
7168,221.02,479.52,3.54,6.1277823
7169,138.31,451.48,3.15,6.253648
7280,917.33,474.24,2.62,6.454294
7281,957.68,556.66,2.98,6.3142724
7283,969.04,820.81,1.18,7.31828
7296,1006.13,949.79,1.94,6.779329
7502,751.83,770.36,2.04,6.72446
7506,1018.55,797.78,2.97,6.3195105
7507,782.91,864.82,2.1,6.692702
7515,967.9,951.96,1.26,7.2518673
7731,757.41,740.52,1.73,6.906956
7743,997.35,962.38,3.47,6.149568
7947,1001.02,525.62,1.67,6.9458613
7949,903.54,711.01,1.28,7.2354155
7950,864.78,702.99,3.96,6.0053935
7954,798.79,838.31,2.5,6.505542
8109,50.32,7.66,1.3,7.214598
8112,48.65,95.87,1.21,7.29241
8116,328.54,198.5,1.89,6.810198
8117,268.06,335.8,1.29,7.2234282
8118,334.61,341.31,2.85,6.363594
8119,288.11,383.99,1.53,7.0406094
8120,67.17,307.86,1.17,7.3297925
8121,71.33,416.16,1.86,6.825028
8122,246.68,380.78,1.35,7.1719556
8123,209.08,391.77,1.01,7.489297
8124,201.2,490.6,3.0,6.3066134
8125,107.11,532.13,2.55,6.4818387
8213,991.81,421.96,1.79,6.868785
8215,799.04,572.02,11.96,4.805308
8216,783.5,661.97,1.45,7.0973077
8217,973.69,825.26,11.57,4.841345
8391,219.4,70.8,1.66,6.9495573
8392,148.45,179.0,1.17,7.3327546
8394,10.62,255.8,1.32,7.201507
