star_id,x_pixel,y_pixel,flux,magnitude
6,691.59,38.63,11483.89,4.849777
7,312.82,172.86,13697.32,4.658411
8,208.08,132.82,22342.49,4.127171
10,985.2,174.39,30603.23,3.785582
12,850.7,233.72,19048.54,4.300346
13,871.87,462.18,44005.56,3.391231
14,871.88,462.2,42333.13,3.433299
16,682.78,489.65,29759.14,3.815949
17,686.56,626.13,14457.46,4.59977
18,843.04,576.72,13198.82,4.698662
19,996.44,632.1,109267.05,2.403777
20,773.01,664.88,12174.95,4.786332
23,138.19,385.42,17100.09,4.417504
24,257.76,409.02,21288.11,4.179657
25,315.13,484.24,24265.9,4.037509
26,433.17,572.76,40980.19,3.468565
27,5.16,424.82,24521.64,4.026126
28,143.77,582.34,15847.82,4.500076
29,237.1,611.04,13434.92,4.679412
30,177.64,722.07,23883.46,4.054757
33,34.04,771.7,15063.56,4.555181
36,391.68,736.74,46947.92,3.320959
37,519.95,739.27,14351.48,4.607758
38,873.96,871.61,11479.0,4.85024
39,556.92,813.0,28633.95,3.857797
40,328.15,793.27,27365.99,3.906972
41,386.76,796.93,12019.3,4.800302
42,202.11,880.55,27355.56,3.907386
46,131.15,983.79,10708.95,4.925633
